,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id.1,album_name,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_reggae_prob
36,2TOzTqQXNmR2zDJXihjZ2e,enough for you,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,202826,2021-05-21,91,0.638,0.259,7,0.4087281247711796,1,0.0898,0.753,0.0,0.21899999999999997,0.26899999999999996,0.17068396922004458,6s84u2TUpR3wdUv4NgKA2j,SOUR,2,jazz,0.9333333333333333,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0
38,0MMyJUC3WNnFS1lit5pTjk,"jealousy, jealousy",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,173160,2021-05-21,89,0.695,0.575,10,0.7288569964120963,0,0.11599999999999999,0.198,0.0,0.0614,0.6990000000000001,0.844947314797437,6s84u2TUpR3wdUv4NgKA2j,SOUR,5,reggae,0.9333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333
49,2dzydxg33Wh5jEtHxhAc60,"jealousy, jealousy",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7bYichzvtYHdjF8HF69dyA,173160,2021-05-21,68,0.695,0.575,10,0.7288569964120963,0,0.11599999999999999,0.198,0.0,0.0614,0.6990000000000001,0.844947314797437,7bYichzvtYHdjF8HF69dyA,SOUR,5,reggae,0.9333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333
47,3T8KVPcFVyyzswMnS8NC8t,enough for you,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7bYichzvtYHdjF8HF69dyA,202826,2021-05-21,69,0.638,0.259,7,0.4087281247711796,1,0.0898,0.753,0.0,0.21899999999999997,0.26899999999999996,0.17068396922004458,7bYichzvtYHdjF8HF69dyA,SOUR,2,jazz,0.9333333333333333,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0
70,3PYkZK3DA2Y6JSr1vAXRNf,"What I've Been Looking For - From ""High School Musical: The Musical: The Series""/Nini & E.J. Version",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,5p3gSxNiXeYlPlztVAUjB2,125096,2019-11-27,49,0.7340000000000001,0.29100000000000004,0,0.6126528520172805,1,0.0418,0.8270000000000001,0.0,0.14400000000000002,0.715,0.593363183812818,5p3gSxNiXeYlPlztVAUjB2,"All I Want (From ""High School Musical: The Musical: The Series"")",2,jazz,0.8666666666666667,0.0,0.0,0.8666666666666667,0.13333333333333333,0.0,0.0
28,13sXuI5RjMHm7dz7O3spYs,Sweet Creature,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5Oaip8Twmcv0at7PChu6pF,224866,2017-05-02,58,0.42700000000000005,0.262,7,0.5672548876034268,1,0.0276,0.746,0.0,0.068,0.228,0.3101053704051264,5Oaip8Twmcv0at7PChu6pF,Sweet Creature,2,jazz,0.8666666666666667,0.0,0.0,0.8666666666666667,0.13333333333333333,0.0,0.0
15,5kRPPEWFJIMox5qIkQkiz5,Sweet Creature,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,224866,2017-05-12,77,0.42700000000000005,0.262,7,0.5672548876034268,1,0.0276,0.746,0.0,0.068,0.228,0.3101053704051264,1FZKIm3JVDCxTchXDo5jOV,Harry Styles,2,jazz,0.8666666666666667,0.0,0.0,0.8666666666666667,0.13333333333333333,0.0,0.0
77,1glFzU55j6ji6xYEMlvEUx,Love the Haters,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,40YjPXmE1d3ajv2dcU2Bhx,94405,2016-10-07,57,0.759,0.792,4,0.7725708427912426,1,0.174,0.107,0.0,0.19399999999999998,0.9590000000000001,0.34519308970337226,40YjPXmE1d3ajv2dcU2Bhx,Bizaardvark (Music from the TV Series),5,reggae,0.8,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.8
63,6XbnQVPgYAR7GmBvQKRVvv,"I Think I Kinda, You Know – Just for a Moment Mashup - From ""High School Musical: The Musical: The Series""",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7Kvek4EtuzV87BT8C8z3yj,134870,2020-04-03,51,0.556,0.695,2,0.7751336311049278,1,0.0896,0.0387,0.0,0.10099999999999999,0.759,0.1398146410345784,7Kvek4EtuzV87BT8C8z3yj,"I Think I Kinda, You Know – Just for a Moment Mashup (From ""High School Musical: The Musical: The Series"")",5,reggae,0.8,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.8
74,5fvrAgYWC8D63PYqJNh3tf,"Let It Glow - From ""Frozen Northern Lights""",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,4dPtBNViH8bSO5Xe6MRsfF,79096,2016-11-11,40,0.746,0.867,9,0.969026872666032,0,0.132,0.253,0.0,0.107,0.695,0.45082267563968526,4dPtBNViH8bSO5Xe6MRsfF,"Let It Glow (From ""Frozen Northern Lights"")",5,reggae,0.7333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.7333333333333333
55,6PERP62TejQjgHu81OHxgM,good 4 u,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,3rMjL8NA5Wh2hbMNk2fSlY,178147,2021-05-14,97,0.556,0.6609999999999999,6,0.8227282712162262,0,0.204,0.3,0.0,0.10099999999999999,0.6679999999999999,0.8863358089569314,3rMjL8NA5Wh2hbMNk2fSlY,good 4 u,5,reggae,0.7333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.7333333333333333
73,5IZU5UmMN4Q1up8pnW2hWL,Start of Something New - Nini Version,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,1fgrILRm1bhM6oi3eK0eAs,101176,2019-11-08,59,0.45299999999999996,0.24600000000000002,2,0.6436259793512484,1,0.0365,0.8009999999999999,0.0,0.106,0.324,0.051719977478081325,1fgrILRm1bhM6oi3eK0eAs,"I Think I Kinda, You Know (From ""High School Musical: The Musical: The Series"")",2,jazz,0.7333333333333333,0.06666666666666667,0.0,0.7333333333333333,0.2,0.0,0.0
67,07CgW5StxZ5QkQ2aEggR53,"Stick to the Status Quo - From ""High School Musical: The Musical: The Series""/Performance",1YWJ1WjMkBCB1X3QOJ1Wdn,Cast of High School Musical: The Musical: The Series,7x6n2jztq7Zlff5xVCfzqB,117400,2020-01-01,46,0.405,0.778,5,0.8350296551219155,1,0.0447,0.00351,0.0,0.135,0.44,0.8088854331447571,7x6n2jztq7Zlff5xVCfzqB,"Just for a Moment (From ""High School Musical: The Musical: The Series"")",3,pop,0.7333333333333333,0.0,0.26666666666666666,0.0,0.7333333333333333,0.0,0.0
11,4u9Y4Z9i9VaAbBK7rW1Rha,Meet Me in the Hallway,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,227200,2017-05-12,71,0.537,0.38299999999999995,2,0.7146518269019551,1,0.0247,0.747,0.00025,0.35600000000000004,0.33899999999999997,0.3115978943793515,1FZKIm3JVDCxTchXDo5jOV,Harry Styles,3,pop,0.7333333333333333,0.0,0.0,0.26666666666666666,0.7333333333333333,0.0,0.0
35,4ZtFanR9U6ndgddUvNcjcG,good 4 u,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,178146,2021-05-21,94,0.563,0.664,9,0.8233140514022114,1,0.154,0.335,0.0,0.0849,0.688,0.8717501854483384,6s84u2TUpR3wdUv4NgKA2j,SOUR,5,reggae,0.7333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.7333333333333333
65,5Yc2A0YtK6PaXT8J1MQ0Rd,"Just for a Moment - From ""High School Musical: The Musical: The Series""",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7x6n2jztq7Zlff5xVCfzqB,197320,2020-01-01,70,0.519,0.503,2,0.7358131361206708,1,0.0442,0.215,0.0,0.14800000000000002,0.364,0.1768417477723856,7x6n2jztq7Zlff5xVCfzqB,"Just for a Moment (From ""High School Musical: The Musical: The Series"")",3,pop,0.7333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.7333333333333333,0.06666666666666667,0.0
46,6P4d1NWBCNIYZjzF9k1mVN,good 4 u,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7bYichzvtYHdjF8HF69dyA,178146,2021-05-21,70,0.562,0.643,9,0.8247052793439262,1,0.141,0.297,0.0,0.0848,0.672,0.8707313367473707,7bYichzvtYHdjF8HF69dyA,SOUR,5,reggae,0.7333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.7333333333333333
53,7kykl0pcJjoDhuL9Minuh9,"YAC Alma Mater - From ""High School Musical: The Musical: The Series (Season 2)""/Nini Version",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,49FiXLGSYfX9TKAOND3S6l,59418,2021-06-04,0,0.627,0.19,0,0.2755363549827926,1,0.0992,0.902,0.0,0.268,0.665,0.3501979605151443,49FiXLGSYfX9TKAOND3S6l,"YAC Alma Mater [From ""High School Musical: The Musical: The Series (Season 2)""/Nini Version]",2,jazz,0.7333333333333333,0.2,0.06666666666666667,0.7333333333333333,0.0,0.0,0.0
